timestamp,open,high,low,close,volume
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62231
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.481
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.35936
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.80837
2024-02-12,48300.0,50334.82,47710.01,49917.27,59009.96705
2024-02-13,49917.28,50368.61,48300.95,49699.59,55551.56706
2024-02-14,49699.6,52043.71,49225.01,51795.17,57046.37401
2024-02-15,51795.17,52816.62,51314.0,51880.0,53816.03055
2024-02-16,51880.01,52572.08,51566.0,52124.11,37772.25318
2024-02-17,52124.1,52162.82,50625.0,51642.64,25674.00622
2024-02-18,51642.64,52377.0,51163.28,52137.67,21992.10363
2024-02-19,52137.68,52488.77,51677.0,51774.73,29534.99432
2024-02-20,51774.74,52985.0,50760.37,52258.82,49614.47318
2024-02-21,52258.82,52366.8,50625.0,51849.39,43079.40049
2024-02-22,51849.38,52065.78,50940.78,51288.42,35309.44574
2024-02-23,51288.42,51548.54,50521.0,50744.15,30545.79544
2024-02-24,50744.15,51698.0,50585.0,51568.22,16560.4211
2024-02-25,51568.21,51958.55,51279.8,51728.85,18721.63159
2024-02-26,51728.85,54910.0,50901.44,54476.47,51256.72199
2024-02-27,54476.48,57588.15,54450.13,57037.34,67194.98562
2024-02-28,57037.35,64000.0,56691.85,62432.1,118763.46984
2024-02-29,62432.11,63676.35,60364.7,61130.98,78425.07603
2024-03-01,61130.99,63114.23,60777.0,62387.9,47737.93473
2024-03-02,62387.9,62433.19,61561.12,61987.28,25534.73659
2024-03-03,61987.28,63231.88,61320.0,63113.97,28994.90903
2024-03-04,63113.97,68499.0,62300.0,68245.71,84835.16005
2024-03-05,68245.71,69000.0,59005.0,63724.01,132696.7813
2024-03-06,63724.01,67641.1,62779.14,66074.04,78738.85491
